Data Table for Daily Case Trends - Texas
Date generated: Tue Dec 14 2021 15:17:07 GMT-1000 (Hawaii-Aleutian Standard Time)
State,Date,New Cases
Texas,Aug 22 2020,5559
Texas,Aug 21 2020,5021
Texas,Aug 20 2020,5303
Texas,Aug 19 2020,7024
Texas,Aug 18 2020,7282
Texas,Aug 17 2020,7908
Texas,Aug 16 2020,6204
Texas,Aug 15 2020,8245
Texas,Aug 14 2020,7018
Texas,Aug 13 2020,6755
Texas,Aug 12 2020,6200
Texas,Aug 11 2020,9803
Texas,Aug 10 2020,4455
Texas,Aug  9 2020,4879
Texas,Aug  8 2020,6959
Texas,Aug  7 2020,7039
Texas,Aug  6 2020,7598
Texas,Aug  5 2020,8706
Texas,Aug  4 2020,9167
Texas,Aug  3 2020,5303
Texas,Aug  2 2020,6226
Texas,Aug  1 2020,9539
Texas,Jul 31 2020,8839
Texas,Jul 30 2020,8800
Texas,Jul 29 2020,9042
Texas,Jul 28 2020,8342
Texas,Jul 27 2020,4267
Texas,Jul 26 2020,5810
Texas,Jul 25 2020,6020
Texas,Jul 24 2020,8701
Texas,Jul 23 2020,9507
Texas,Jul 22 2020,9879
Texas,Jul 21 2020,9305
Texas,Jul 20 2020,7404
Texas,Jul 19 2020,7300
Texas,Jul 18 2020,10158
Texas,Jul 17 2020,14916
Texas,Jul 16 2020,10291
Texas,Jul 15 2020,7307
Texas,Jul 14 2020,10745
Texas,Jul 13 2020,5655
Texas,Jul 12 2020,8196
Texas,Jul 11 2020,10351
Texas,Jul 10 2020,9765
Texas,Jul  9 2020,9782
Texas,Jul  8 2020,9979
Texas,Jul  7 2020,10028
Texas,Jul  6 2020,5318
Texas,Jul  5 2020,3449
Texas,Jul  4 2020,8258
Texas,Jul  3 2020,7555
Texas,Jul  2 2020,7915
Texas,Jul  1 2020,8076
Texas,Jun 30 2020,6975
Texas,Jun 29 2020,4288
Texas,Jun 28 2020,5357
Texas,Jun 27 2020,5742
Texas,Jun 26 2020,5707
Texas,Jun 25 2020,5996
Texas,Jun 24 2020,5551
Texas,Jun 23 2020,5489
Texas,Jun 22 2020,3280
Texas,Jun 21 2020,3866
Texas,Jun 20 2020,4430
Texas,Jun 19 2020,3454
Texas,Jun 18 2020,3516
Texas,Jun 17 2020,3129
